nombreVacante,area,nivelPuesto
Auxiliar de nóminas,Administración,Mandos medios
Operador,Producción,Operativo
Técnico mantenimiento industrial,Mantenimiento industrial,Técnico
Técnica/o de Laboratorio,Calidad,Técnico especializado
Sales Representative A,Comercialización,Técnico especializado
Área de contabilidad,Finanzas y Contabilidad,Mandos medios
Auxiliar de cocina,Producción,Operativo
Tecnico de subestaciones ,Mantenimiento industrial,Técnico especializado
Representante de ventas,Comercialización,Mandos medios
Practicante de Recursos Humanos,Recursos humanos,Becario
Vendedor/a de mostrador,Operativo,Operativo
Capturista,Logística,Operativo
tecnico de maquinado  CNC,Producción,Técnico
Ingeniero Automotriz (Recién Graduado),Producción,Técnico especializado
Chofer,Operativo,Operativo
Adornadora,Producción,Operativo
Chofer Reparto Irapuato,Operativo,Técnico
Auxiliar de embarques Nocturno,Logística,Operativo
Encargado de seguridad e higiene,Producción,Mandos medios
Supervisor de almacén,Logística,Operativo
auxiliar de mantenimiento ,Mantenimiento industrial,Técnico
AUXILIAR ,Operativo,Operativo
inspector de calidad,Calidad,Operativo
Mecánico de mantenimiento industrial,Mantenimiento industrial,Técnico especializado
Almacenista ,Producción,Operativo
LAVADOR / DETALLADOR,Operativo,Operativo
Ejecutivo de Ventas,Comercialización,Operativo
Analista de sistemas,Informática,Practicante
Chofer de camión repartidor,Operativo,Operativo
Vendedor de mostrador,Operativo,Operativo
jefe de taller,Operativo,Técnico especializado
Guardia de seguridad,Operativo,Operativo
Chofer de unidad,Logística,Operativo
AYUDANTE VENDEDOR AGUA,Operativo,Operativo
Operador de transporte público,Logística,Operativo
Diseñador gráfico,Publicidad y Mercadotecnia,Técnico especializado
AUXILIAR DE MANTENIMIENTO ,Mantenimiento industrial,Técnico
Operador de producción,Producción,Operativo
Agente de ventas,Producción,Mandos medios
Ejecutivo de implementación sistema SAP BO,Informática,Mandos medios
LIDER DE FLOTILLA,MANTENIMIENTO ,Operativo
Ejecutivo de Ventas,Comercialización,Operativo
Desarrollador de software,Producción,Técnico
Analista de costos e inventarios,Finanzas y Contabilidad,Mandos medios
soldador de microalambre,Operativo,Operativo
Guardia de seguridad,Operativo,Operativo
Capturista,Logística,Operativo
Ayudante Vending Suplente ,Operativo,Operativo
Vigilante,Operativo,Operativo
Promotor de cambaceo residencial,Producción,1
Operador de producción,Producción,Operativo
operador de maquina CNC,Producción,Operativo
AUXILIAR DE CARNICERÍA,Operativo,Operativo
Hornero,Producción,Operativo
Auxiliar contable,Finanzas y Contabilidad,Técnico especializado
Vendedor/a departamental ,Operativo,Operativo
Auxiliar de producción,Operativo,Operativo
ASESOR DE COBRANZA ,Finanzas y Contabilidad,Técnico especializado
AYUDANTE GENERAL ,Operativo,Operativo
Ingeniero Automotriz (Recién Graduado),Producción,Técnico especializado
Auxiliar de Fotografía,Operativo,Operativo
Asesor de Ventas,Comercialización,Operativo
LIMPIEZA GENERAL ,Operativo,Operativo
Operador de producción ,Producción,Operativo
Ayudante de limpieza,otro,Operativo
Ejecutiva de Admisión,Administración,Técnico
Técnica/o de mantenimiento,Mantenimiento industrial,Técnico especializado
Auxiliar de mantenimiento,Operativo,Técnico
asistente de equipaje ,Operativo,Operativo
Ayudante general,Operativo,Operativo
Técnico de Mantenimiento,Mantenimiento industrial,Técnico especializado
Ayudante general,Producción,Operativo
Encargado de seguridad e higiene,Recursos humanos,Mandos medios
Operador de produccion,Operativo,Operativo
Asesor de ventas comercio al por menor,Comercialización,Operativo
Tender Analyst (Encargado de licitaciones),Logística,Operativo
ERP System Consultant,Informática,Técnico
Camarista,Operativo,Operativo
Asistente o Sub Jefe de salchichonería ,Administración,Mandos medios
Ayudante de mantenimiento preventivo y correctivo,Mantenimiento industrial,Operativo
Chofer,Operativo,Operativo
Técnico en mantenimiento industrial,Mantenimiento industrial,Técnico especializado
Mecánico automotriz,Operativo,Técnico
Residencias profesionales,Ingenieria del Producto,Practicante
Auxiliar de Mecanico Automotriz,Mantenimiento industrial,Técnico especializado
Ayudante de limpieza,Administración,Operativo
Coordinador de mercadotecnia,Publicidad y Mercadotecnia,Técnico especializado
Coordinador de ventas,Comercialización,Mandos medios
Cardador,Producción,Operativo
PERSONAL DE LIMPIEZA,Operativo,Operativo
Coordinador de finanzas,Finanzas y Contabilidad,Mandos medios
ADMINISTRADOR E IMPLEMENTADOR DE SISTEMAS IT,Informática,Técnico especializado
Auxiliar de almacén,Operativo,Operativo
Cocinero/a,Operativo,Operativo
Operador de Producción,Producción,Operativo
Auxiliar de informática,Informática,Técnico especializado
Planeador de materiales,Logística,Mandos medios
Montacarguista,Logística,Operativo
Representante de ventas,Publicidad y Mercadotecnia,Mandos medios
Ayudante general,Operativo,Operativo
Auxiliar de mantenimiento,Operativo,Operativo
Supervisor de ventas,Administración,Mandos medios
Analista de recursos humanos,Recursos humanos,Mandos medios
Sueprvisor de Proudcción,Producción,Mandos medios
Auxiliar de Monitoreo ,Operativo,Técnico
operador de producción,Producción,Operativo
Vendedor Plaza Mayor,Comercialización,Operativo
Ingeniero Automotriz,Producción,Técnico especializado
TECNICO DE MANTENIMIENTO A MONTACARGAS,Mantenimiento industrial,Técnico
Especialista de importaciones y exportaciones ,Administración,Mandos medios
Comprador,Producción,Técnico especializado
Asesor financiero a emprendedores,Publicidad y Mercadotecnia,Mandos medios
Vigilante,Operativo,Operativo
Repartidor de mercancías,Operativo,Operativo
Auxiliar de laboratorio de Medicina,Operativo,Operativo
Asistente de Salchichonería,Administración,Mandos medios
Pormotor,Comercialización,Técnico
Ejecutivo de Logística y Comercio Internacional,Logística,Mandos medios
TÉCNICO DE MANTENIMIENTO,Operativo,Técnico
Líder de producción,Producción,Técnico
Operador de Producción,Operativo,Técnico
Ayudante general,Recurtido y Acabado,Operativo
Ejecutivo de Operacion Tienda en Linea,Publicidad y Mercadotecnia,Mandos medios
Jefe de aseguramiento de calidad,Calidad,Mandos medios
Elemento de Protección Seguridad ,Administración,Operativo
Vigilante,Administración,Mandos medios
Staff de Administración,Administración,Mandos medios
Licitaciones area construccion,Dirección general,Mandos medios
Chofer de camión de carga,Operativo,Operativo
Ayudante general de operación,Producción,Operativo
Guardia de seguridad,Seguridad,Operativo
Auxiliar administrativo,Administración,Mandos medios
COORDINADORA DE NOMINAS,Finanzas y Contabilidad,Mandos medios
Inspector de Piel ,Calidad,Operativo
Electromecánico,Mantenimiento industrial,Técnico especializado
Inspector de calidad en industria metal mecánica,Calidad,Operativo
Pespuntador,Producción,Operativo
Vendedor  comisionista,Administración,Mandos medios
Auxiliar de cocina,Producción,Operativo
Administrador de riesgos para seguros ,Administración,Técnico especializado
Técnico de producción,Producción,Técnico
Guardia de seguridad,Operativo,Operativo
Mecánico de mantenimiento industrial,Mantenimiento industrial,Operativo
Supervisor de limpieza ,Mantenimiento industrial,Mandos medios
Analista de calidad,Calidad,Mandos medios
MÉDICO CIRUJANO,Administración,Técnico especializado
Almacenista,Operativo,Operativo
Auxiliar de Die Casting ,Producción,Técnico especializado
Personal de Limpieza o Aseo,Operativo,Operativo
Electromecánico,Mantenimiento industrial,Técnico especializado
Auxiliar de diseño gráfico ,Calidad,Técnico especializado
Ayudante general madereria ,Producción,Operativo
OPERADORES DE TRANSPORTE PUBLICO,Operativo,Operativo
Auxiliar Técnico,Mantenimiento industrial,Operativo
Almacenista ,Producción,Operativo
Vendedor a detalle,Comercialización,Operativo
TECNICO DE CALIDAD,Calidad,Técnico
"operador para acabado de piezas de aluminio, operador de maquina inyectora, operador de maquinado",Producción,Operativo
Analista de recursos humanos,Administración,Técnico especializado
Promotor de ventas,Comercialización,Operativo
Jefe de oficina,Administración,Operativo
Ayudante general,Operativo,Operativo
Representante de ventas,Comercialización,Mandos medios
POLICIA Y POLICIA VIAL,Operativo,Operativo
SUPERVISOR DE CAMPO,Operativo,Mandos medios
Supervisor de ventas,Administración,Formación/Modelo dual
Carpintero,Producción,Técnico
TAMBORERO,Producción,Técnico
Carnicero o 1/2 Carnicero,Operativo,Operativo
INGENIERO DE PRODUCTO,Operativo,Técnico especializado
Ejecutivo de ventas y atención al cliente,Operativo,Operativo
ARMADOR DE BOLSA,Producción,Operativo
Asesor de Módulos,Operativo,Operativo
Opl/Almacenista,Logística,Operativo
Auxiliar de Limpieza / Intendencia,Operativo,Operativo
Soldador en industria metal mecánica,Mantenimiento industrial,Operativo
vendedor Fonráneao,Comercialización,Técnico especializado
Lavaloza,Operativo,Operativo
OPERADOR DE PRODUCCION,Operativo,Operativo
Cocinero de comida fría,Producción,Operativo
Hojalatero pintor,Operativo,Técnico
auxiliar de cajero ,Comercialización,Operativo
Auxiliar de cocina,Producción,Operativo
Auxiliar de compras,Administración,Mandos medios
Ayudante general,Logística,Operativo
OPERADOR DE ENSAMBLE,Producción,Operativo
Auxiliar de resurtido de abarrotes,Operativo,Operativo
Auxiliar de reclutamiento y selección,Recursos humanos,Mandos medios
Auxiliar de Lavanderia,Operativo,Operativo
Analista de sistemas,Informática,Mandos medios
Auxiliar de etiquetado y señalización,Operativo,Operativo
Operador de montacargas para manipulación de material,Logística,Operativo
Ejecutivo de operacion tienda en linea,Publicidad y Mercadotecnia,Mandos medios
Auditor interno,Administración,Técnico especializado
Operador de máquinas,Producción,Operativo
Auxiliar de embarques Nocturno,Logística,Operativo
Auxiliar de mantenimiento,Mantenimiento industrial,Técnico
EMBANCADOR,Producción,Operativo
Especialista de Cuentas por Cobrar y Ventas,Finanzas y Contabilidad,Técnico especializado
Guardia de seguridad,Operativo,Operativo
Técnico laboratorista químico automotriz,Calidad,Técnico especializado
Técnico Laboratorista Químico Automotriz,Calidad,Técnico especializado
Motociclista mensajero,Logística,Operativo
Production Group Leader,Producción,Mandos medios
Montacarguista,Logística,Operativo
Montacarguista,Logística,Técnico
Policía y Policía vial,Operativo,Operativo
Auxiliar Técnico (mantenimiento),Mantenimiento industrial,Operativo
Guardia de seguridad,Recursos humanos,Operativo
Analyst Cost Management,Finanzas y Contabilidad,Mandos medios
Ayudante de limpieza,Operativo,Operativo
Electromecánico,Mantenimiento ,Técnico
Auxiliar de mantenimiento,Mantenimiento de instalaciones,Operativo
Auxiliar de almacén,Operativo,Operativo
Staff de Ingeniería,Mantenimiento industrial,Mandos medios
Cajero/a,Operativo,Operativo
Jefe de aseguramiento de calidad,Operativo,Mandos medios
Despachador,Operativo,Operativo
Contador público ,Finanzas y Contabilidad,Mandos medios
"Negocio BPO (Norteamérica, Centro y Sudamérica)",Comercialización,Operativo
Técnico electricista ,Operativo,Técnico especializado
INGENIERO DE MRO ,Logística,Mandos medios
Chofer de camión de carga,Finanzas y Contabilidad,Operativo
Ejecutivo de ventas,Logística,Operativo
Ayudante general,Operativo,Operativo
JEFE DE TALLER,Mantenimiento,Técnico especializado
Ejecutivo Ventas,Operativo,Operativo
EJECUTIVO DE CUENTAS CLAVE,Administración,Técnico
Vigilante,Operativo,Operativo
Asesor telefónico,Operativo,Operativo
Becario de recursos humanos,Administración,Prácticamente 
Analista de cobranza,Asuntos jurídicos,Operativo
Operador de producción,Producción,Operativo
Lider de Almacen,Comercialización,Técnico especializado
Auxiliar control de producción,Logística,Mandos medios
Montacarguista,Logística,Operativo
Ejecutivo de ventas,Logística,Operativo
Almacenista Matutino,Logística,Operativo
CHOFER DE TRAILER,Operativo,Operativo
Analista de recursos humanos,Mantenimiento industrial,Mandos medios
Electricista industrial ,Mantenimiento industrial,Técnico
Chofer custodio,Administración,Directivos
Traductor ,Administración,Mandos medios
Supervisor Procesos (Ing. Químico),Producción,Mandos medios
Operador de montacargas,Operativo,Operativo
Agente de ventas ,Operativo,Operativo
Picker (Pick&Go),Operativo,Operativo
Abogado,Asuntos jurídicos,Operativo
Chofer ,Logística,Operativo
CHOFER ,Operativo,Operativo
Cocinero/a,Operativo,Operativo
Auxiliar de reclutamiento y selección,Recursos humanos,Mandos medios
Tecnico de Mantenimiento ,Producción,Técnico
MECANICO DIESEL,MANTENIMIENTO ,Operativo
OPERADOR DE PRODUCCIÓN,Operativo,Operativo
Jefe calidad,Comercialización,Mandos medios
Electromecánico,Mantenimiento industrial,Operativo
Chofer de personal y cobranza,Operativo,Operativo
Líder de producción,Producción,Técnico
Guardia de Seguridad,otro,Operativo
IATF Personnel,Calidad,Técnico especializado
Chofer vendedor,Operativo,Operativo
OPERADOR GENERAL,Operativo,Operativo
Auxiliar administrativo,Administración,Técnico especializado
asistente de equipaje ,Operativo,Operativo
Operadores en general,Operativo,Operativo
Guardia Armado,Operativo,Operativo
Operador de máquina para la fabricación de tubos,Producción,Operativo
Cocinero de comedor industrial,Operativo,Técnico
Chofer de camión de carga,Administración,Operativo
Operador de producción de industria metálica,Operativo,Operativo
Montacarguista,Producción,Operativo
Rebajador,Producción,Operativo
Analista de calidad,Operativo,Operativo
AYUDANTE GENERAL,Producción,Operativo
AYUDANTE DE TIENDA ,Comercialización (compras y ventas),Operativo
Coordinador de ventas,Informática,Operativo
TRADUCTOR JAPONES,Comercialización,Mandos medios
Técnico de Mantenimiento,Logística,Operativo
Representante de ventas (Outside Sales),Operativo,Técnico
Chofer de Camioneta Estacas (LIC C),Logística,Técnico
operador de producción terminado,Operativo,Operativo
Albañil de construcción,Mantenimiento industrial,Operativo
Administrador de Proyecto,Comercialización,Técnico
Ejecutivo de ventas,Administración,Mandos medios
Auxiliar de almacén,Logística,Mandos medios
Obrero de mantenimiento y reparación de edificios,Mantenimiento industrial,Técnico
Auxiliar administrativo,Recursos humanos,Operativo
Auxiliar de ingeniería,Administración,Técnico especializado
INSPECTOR DE CALIDAD PRODUCTO TERMINADO,Calidad,Técnico
Asesor de ventas,Comercialización,Operativo
PLANEADOR DE PRODUCCIÓN,Producción,Mandos medios
Staff de Logística,Logística,Técnico especializado
Logístico con experiencia en almacén,Logística,Mandos medios
Tecnico de calidad,Calidad,Técnico
Agente de ventas,Comercialización,Operativo
Operador de producción,Producción,Operativo
Tecnico en Mantenimiento,Operativo,Técnico
Lavaloza,Operativo,Operativo
Atención al cliente,Comercialización,Practicante
Especialista en marketing digital,Publicidad y Mercadotecnia,Aprendiz
Supervisor/Supervisora Electoral (SE) ,Operativo,Operativo
Agente de ventas mostrador,Operativo,Operativo
Laboratorista clínico,Producción,Técnico
Especialista de Capacitación,Recursos humanos,Mandos medios
Representante Comercial de Laboratorio (Foraneo ),Logística,Operativo
Tornero,Operativo,Operativo
Guía Turístico / Atención y servicio al cliente,Operativo,Técnico
Analista de plataforma,Administración,Mandos medios
Técnico electromecánico,Producción,Técnico
Personal de Limpieza / Intendencia,Operativo,Operativo
Operador de máquina para tintura de cueros,Producción,Operativo
Auxiliar de Mantenimiento / Rolar Turnos,Mantenimiento industrial,Técnico
MONTACARGAS (P),Logística,Operativo
SOLDADORES,Producción,Operativo
Auxiliar de producción ,Producción,Operativo
Gerente de calidad,Calidad,Directivos
AYUDANTES GENERALES ,Producción,Operativo
OPL/ALMACENISTA,Logística,Operativo
TUGGER/TRACTORISTA,Logística,Operativo
Mecánico de diésel,Mantenimiento industrial,Operativo
OPL/AYUDANTE GENERAL,Logística,Operativo
Supervisor de Mantenimiento,Mantenimiento industrial,Mandos medios
Guardia de seguridad,Operativo,Operativo
MONTACARGAS (VW),Logística,Operativo
Supervisor de montado,Administración,Técnico
Promotor de Autoservicios,Comercialización,Operativo
técnico fumigador,Operativo,Mandos medios
OPERADOR DE DOBLEZ ,Producción,Operativo
Técnico de moldes,Producción,Operativo
Asesor de crédito,Finanzas y Contabilidad,Operativo
Operador de corte,Operativo,Operativo
Esmaltador,Producción,Operativo
Auxiliar de alteraciones (Costurera),Operativo,Operativo
Esmaltador ,Producción,Operativo
Encargado de tienda,Operativo,Operativo
Edecan de eventos especiales,Publicidad y Mercadotecnia,Operativo
Auxiliar de cocina,Operativo,Operativo
Auxiliar de producción,Producción,Operativo
Especialista en Prevención,Operativo,Operativo
Chofer vendedor,Operativo,Operativo
CAJERO VENDEDOR,Operativo,Operativo
Implementador,Administración,Técnico
ASESORA DE VENTAS (IRAPUATO),Comercialización,Técnico
Vendedor de boutique plaza Mulza,Comercialización,Técnico
Ayudante de almacen ,Operativo,Operativo
Velador,Operativo,Operativo
Auxiliar Administrativo de Cobranza,Administración,Operativo
VENDEDOR / CAJERO,Operativo,Operativo
Preventa a moto Irapuato,Comercialización,Mandos medios
PERSONAL DE LIMPIEZA,Operativo,Operativo
Preventa en moto Leon,Comercialización,Mandos medios
Auxiliar de cocina,Calidad,Operativo
GUÍA TURÍSTICO,Operativo,Técnico
Supervisor de producción ,Producción,Mandos medios
Cargador / Estibador,Producción,Operativo
Encargado de sucursal,Operativo,Operativo
AUXILIAR DE MATENIMIENTO GENERAL,Mantenimiento industrial,Técnico
Mecánico ,Mantenimiento industrial,Operativo
Mecánico ,Mantenimiento industrial,Técnico especializado
Mecánico eléctrico,Mantenimiento industrial,Técnico especializado
Auxiliar de mantenimiento,Operativo,Técnico especializado
Operador de producción ,Producción,Operativo
Auxiliar de producción,Producción,Operativo
Vigilante,Operativo,Operativo
Auxiliar contable,Finanzas y Contabilidad,Mandos medios
Técnico en fumigación,Operativo,Operativo
Cajero/a,Administración,Operativo
Empleado general varias áreas,Operativo,Operativo
Asesor financiero,Finanzas y Contabilidad,Mandos medios
Tecnico automotriz con atencion al cliente,Operativo,Técnico especializado
Auxiliar de Mentenimiento General,Mantenimiento industrial,Técnico
Almacenista,Operativo,Operativo
Maniobrista,Producción,Operativo
Auxiliar de limpieza,Operativo,Técnico
Lavaloza,Producción,Operativo
Chofer de camión de carga,Operativo,Operativo
Guardia de seguridad,Operativo,Operativo
GUARDIAS DE SEGURIDAD,Operativo,Operativo
LAVADOR/DETALLADOR AUTOMOTRIZ,Operativo,Operativo
Auxiliar de mantenimiento General,Mantenimiento industrial,Técnico
Operador de Torton,Logística,Operativo
AYUDANTE DE ALMACEN,Logística,Operativo
Electricista ,Operativo,Operativo
PROMOTOR DE CAMBACEO SENIOR,Comercialización,Operativo
COCINERO,Operativo,Técnico especializado
Pick & Go,Operativo,Operativo
Encargado de limpieza,Administración,Operativo
Ayudante de soldador,Operativo,Operativo
MESERO,Operativo,Operativo
HOSTESS,Operativo,Operativo
Gerente de operaciones,Producción,Directivos
Auxiliar de almacén,Operativo,Operativo
OPERADOR DE CAJAS,Operativo,Operativo
TECNICO DE TEÑIDO DE CINTA POLYESTER,Producción,Técnico especializado
Auxiliar de almacén,Operativo,Operativo
Corredor,Operativo,Operativo
Auditor de Inventarios ,Operativo,Operativo
Asesor de ventas,Operativo,Operativo
Técnico en mantenimiento HVAC (refrigeración y aire acondicionado)Técnico en Mantenimiento HVAC (Refrigeración y Aire Acondicionado),Operativo,Técnico especializado
Jefe de crédito y cobranzas,Administración,Mandos medios
repartidor en motocicleta,Operativo,Operativo
Operador de producción de industria metálica,Producción,Operativo
SUPERVISOR DE CAJAS,Operativo,Mandos medios
CHOFER PARA TRASLADO DE PERSONAL,Operativo,Operativo
Tecnico profesional en el área Juridica,Asuntos jurídicos,Técnico
Oficial de seguridad,Operativo,Operativo
Reclutador,Recursos humanos,Mandos medios
Secretaria facturista,Administración,Operativo
TECNICO AUTOMOTRIZ,Operativo,Técnico
Ayudante general,Operativo,Operativo
Vigilante,Administración,Operativo
Mecánico de diésel,Logística,Técnico especializado
Asesor de ventas,Operativo,Operativo
procurador de fondos,Administración,Mandos medios
Analista de almacén,Logística,Técnico
Oficial de seguridad,Operativo,Operativo
Operador de mantenimiento,Operativo,Operativo
TÉCNICO EN REFRIGERACIÓN,Mantenimiento industrial,Técnico
Auxiliar de mantenimiento,Mantenimiento industrial,Operativo
Guardia de seguridad,Operativo,Operativo
GUIA DE TURISTAS (Atención al cliente y Ventas),Operativo,Operativo
AUXILIAR MECÁNICO DIESEL,Logística,Técnico
Corrector,Operativo,Operativo
Inspector de calidad ,Calidad,Operativo
MECANICOS DIESEL,Mantenimiento industrial,Operativo
TAQUILLERO (Atención al Cliente y Ventas),Operativo,Operativo
AUXILIAR DE CREDITO Y COBRANZA,Administración,Operativo
Chofer,Operativo,Técnico
Parrillero,Operativo,Operativo
Guardia de seguridad,Operativo,Mandos medios
Inspector de calidad,Calidad,Operativo
Gestor Legal,Asuntos jurídicos,Mandos medios
Ayudante general,Operativo,Operativo
Ayudante general de operación,Operativo,Operativo
Operador de calidad,Producción,Operativo
Auxiliar de calidad,Calidad,Técnico
Administrador de proyecto arquitectónico,Comercialización,Mandos medios
Lavaloza ,Producción,Operativo
Chofer vendedor,Comercialización,Operativo
Gerente de Ventas,Comercialización,Directivos
Técnico en Áreas Generales,Operativo,Técnico especializado
PROMOTORA,Operativo,Operativo
Auxiliar administrativo,Administración,Operativo
Auxiliar de almacén,Operativo,Operativo
Guardia de seguridad,Operativo,Operativo
Operador de pipa,Producción,Mandos medios
Abogado mercantil,Asuntos jurídicos,Mandos medios
Guardia de seguridad,Operativo,Mandos medios
Auxiliar comercializacion ,Administración,Operativo
Guardia de seguridad patrimonial,Administración,Mandos medios
Auxiliar de almacén,Operativo,Operativo
Maestro carpintero,Producción,Técnico especializado
Auxiliar contable,Finanzas y Contabilidad,Técnico especializado
M3 Mantenimiento A,Mantenimiento industrial,Operativo
Auxiliar de Recursos humanos,Administración,Operativo
Vacante de prueba,Asuntos jurídicos,Técnico especializado
Mecánico ,Logística,Operativo
"TÉCNICOS ELECTRÓNICOS, ELÉCTRICOS Y ELECTROMECÁNICOS",Mantenimiento industrial,Técnico
Técnico electricista ,Operativo,Técnico
Ayudante de limpieza,Producción,Operativo
OPERADOR DE TRANSPORTE ,Operativo,Operativo
Asesor de ventas,Administración,Operativo
Operador de producción de industria metálica,Producción,Operativo
Almacenista,Administración,Operativo
Auxiliar de operaciones,Operativo,Operativo
Oficial de seguridad ,Operativo,Operativo
CAJERA,Administración,Técnico especializado
Operador de producción,Producción,Operativo
Cajero de tienda de autoservicio,Operativo,Operativo
Carnicero,Operativo,Operativo
Verificador de credito y cobranza ,Operativo,Operativo
Vacante de prueba (No postularse),Comercialización,Directivos
tecnico en reparacion de electrodomesticos,Operativo,Técnico especializado
Vendedor de piso,Comercialización,Operativo
Verificador  de credito ,Operativo,Operativo
TÉCNICO INSTALADOR,Operativo,Técnico
asesor de ventas ,Finanzas y Contabilidad,Operativo
Técnico en electricidad,Operativo,Técnico especializado
"ALMACENISTA, MONTACARGUISTA",Operativo,Operativo
Analista de salud ocupacional,Administración,Técnico especializado
Auxiliar de Limpieza / Intendencia,Operativo,Operativo
Encagado del departamento de recursos contables,Finanzas y Contabilidad,Mandos medios
Soldador experiencia en TIG,Producción,Operativo
Soldador TIG,Producción,Técnico
Encargado del departamento derecursos contables,Finanzas y Contabilidad,Mandos medios
Psicólogo,Administración,Técnico especializado
Operador de full,Logística,Operativo
COCINERO ,Operativo,Operativo
OPERADOR DE CNC,Operativo,Operativo
Auxiliar de almacén de materiales,Administración,Técnico especializado
LAVADOR DE AUTOS,Operativo,Operativo
Montacarguista,Operativo,Operativo
Auxiliar de Fotografía (Ventas y Atención al Cliente),Operativo,Operativo
Empacador,Producción,Operativo
Tecnico de mantenimiento ,Mantenimiento industrial,Técnico especializado
Asesor telefónico,Operativo,Operativo
Ejecutivo de ventas,Logística,Técnico especializado
Auxiliar de producción,Producción,Operativo
Mecánico ,Operativo,Operativo
Asesor en Operación y Logística de Eventos ,Logística,Mandos medios
Auxiliar contable,Administración,Técnico
auxiliar de ventas,Operativo,Operativo
Molinero,Producción,Operativo
Procurador de fondos,Administración,Mandos medios
Ingeniero electricista,Mantenimiento industrial,Técnico especializado
Chofer de camión repartidor,Comercialización,Operativo
Asesor de ventas,Comercialización,Operativo
Ingeniero  en Sistemas,Informática,Operativo
Analista de recursos humanos,Recursos humanos,Directivos
Asesor telefónico,Operativo,Operativo
Mesero,Operativo,Mandos medios
Estibador,Operativo,Operativo
Auxiliar de producción,Producción,Operativo
Ayudante de cocina,Producción,Operativo
AUXILIAR DE NOMINA,Administración,Mandos medios
Coordinador ocurre y reparto,Logística,Técnico
Estibador,Operativo,Operativo
Auxiliar contable,Finanzas y Contabilidad,Operativo
Ayudante general de operación,Producción,Operativo
Tecnico en mantenimiento de equipo de impresión,Operativo,Técnico
Vendedora de mostrador ,Comercialización,Técnico especializado
monitorista/seguridad,Administración,Técnico
Guardia de seguridad,Operativo,Operativo
Auxiliar de mantenimiento,Mantenimiento industrial,Mandos medios
Guardia de seguridad,Operativo,Operativo
Reparador de aparatos electrodomésticos,Administración,Mandos medios
Contador,Finanzas y Contabilidad,Técnico especializado
Ingeniero de mantenimiento eléctrico,Mantenimiento industrial,Técnico especializado
Mecánico ,Operativo,Operativo
CAJERO/VENDEDOR/BARISTA,Operativo,Técnico especializado
Chofer de transporte de carga pesada,Operativo,Operativo
Vendedor (Mulza),Comercialización,Operativo
Ayudante de limpieza,Comercialización,Operativo
Técnico Inst,Operativo,Operativo
Asesor de ventas,Comercialización,Mandos medios
Asesor telefónico - ATENCIÓN AL CLIENTE,Operativo,Operativo
Montacarguista,Operativo,Operativo
Supervisor de producción ,Producción,Operativo
ALMACENISTA CHOFER,Logística,Operativo
Montacarguista,Logística,Operativo
Auxiliar administrativo,Administración,Mandos medios
CHOFER ADMINISTRATIVO,Administración,Técnico especializado
Auxiliar de jardinería de servicios de paisajismo,Operativo,Operativo
Auxiliar de cocina ,Operativo,Operativo
Herrero,Mantenimiento industrial,Técnico
Encargado de compras y presupuestos,Operativo,Operativo
CAMARISTA,Operativo,Operativo
Jefe de sistemas,Administración,Mandos medios
Guardia de seguridad,Operativo,Operativo
Programador de producción,Logística,Mandos medios
Auxiliar de embarques,Administración,Operativo
Despachador de gasolina,Operativo,Operativo
Operador de línea,Operativo,Operativo
Analista de compras,Administración,Mandos medios
Auxiliar de Tesoreria,Finanzas y Contabilidad,Mandos medios
Ayudante general,Producción,Operativo
Afanador/a,Operativo,Operativo
Montacarguista,Producción,Operativo
Auxiliar de almacén,Comercialización,Mandos medios
OPERADOR DE LAVANDERIA,Operativo,Operativo
Auxiliar de almacén,Operativo,Operativo
Camarista,Calidad,Operativo
Ejecutivo de call center,Producción,Operativo
Promotor de ve,Comercialización,Operativo
Operador de maquinaria industrial,Producción,Operativo
Auxiliar General ,Logística,Operativo
SOLDADOR DE MICROALAMBRE,Operativo,Operativo
ELEMENTO DE SEGURIDAD PRIVADA,Operativo,Operativo
Auxiliar de cocina,Operativo,Mandos medios
Psicólogo,Administración,Mandos medios
Preventa a moto irapuato - guanajuato,Operativo,Mandos medios
Supervisor de turno,Operativo,Operativo
Ejecutivo de ventas,Logística,Técnico especializado
Auxiliar administrativo,Administración,Técnico
Programador de Producción en Calzado,Administración,Mandos medios
Contador público ,Finanzas y Contabilidad,Mandos medios
OPERADOR DE SOLDADURA,Operativo,Operativo
Ejecutivo de ventas,Operativo,Operativo
Chofer de transporte de carga pesada,Logística,Operativo
Topógrafo,Operativo,Mandos medios
Operador de producción,Producción,Operativo
inpector de calidad en autos ,Logística,Operativo
Coordinador de Mercadeo Nocturno,Operativo,Mandos medios
Cobrador,Administración,Operativo
Chofer,Operativo,Técnico
Contador público ,Finanzas y Contabilidad,Mandos medios
Analista Administrativo Tecnologías de la Información ,Informática,Mandos medios
Becario Data Entry,Administración,Becario
Almacenista,Administración,Mandos medios
Chofer,Dirección general,Técnico especializado
AUXILIAR / TECNICO EN AIRE ACONDIONADO,Operativo,Operativo
Ayudante en aire condicionado / Tecnico en Aire Acondicionado,Operativo,Operativo
Operador de mantenimiento,Operativo,Operativo
Asesor telefónico,Operativo,Operativo
Guardia de seguridad,Operativo,Operativo
operador de corte plasma,Operativo,Operativo
Guardia de seguridad,Operativo,Operativo
Contador público ,Finanzas y Contabilidad,Mandos medios
Cocinero/ Parrillero,Comercialización,Operativo
