nombreVacante,area,nivelPuesto
Analista de recursos humanos,Recursos humanos,Mandos medios
Asistente de Gerente de Finanzas,Finanzas y Contabilidad,Mandos medios
Subgerente de Mantenimiento,Mantenimiento industrial,Directivos
SUPERVISORA DE VENTAS,Comercialización,Técnico especializado
TECNICO DE MANTENIMIENTO,Mantenimiento industrial,Técnico
OPERADOR DE PRODUCCION,Operativo,Operativo
auxiliar de cremeria ,Comercialización,Operativo
Ingeniero de mantenimiento mecánico,Mantenimiento industrial,Técnico especializado
Recepcionista ,Operativo,Operativo
Prensista,Producción,Operativo
Técnico electromecánico,Mantenimiento industrial,Técnico
Systgem Engineer in Leon and GTO State,Informática,Técnico
Ingeniero de mantenimiento mecánico,Mantenimiento industrial,Técnico especializado
PERSONAL DE LIMPIEZA,Operativo,Operativo
Promotor para tienda,Comercialización,Operativo
Ingeniero de proyectos,Comercialización,Mandos medios
OPERADOR DE SOLDADURA,Operativo,Operativo
Asesor financiero,Finanzas y Contabilidad,Técnico especializado
Técnico en mantenimiento automotriz,Mantenimiento industrial,Técnico
Intramuro (Seguridad),Operativo,Operativo
Coordinador de ventas,Comercialización,Mandos medios
Lider de EHS,Recursos humanos,Mandos medios
Operador de Producción,Producción,Operativo
Vendedor,Comercialización,Mandos medios
Cocinero/a,Producción,Operativo
auxiliar de soporte tecnico,Informática,Técnico especializado
Técnico electromecánico,Mantenimiento industrial,Técnico
Tugger/Tractorista,Logística,Operativo
Agente de seguros,Comercialización,Operativo
TECNICO DE MOLDES ,Calidad,Técnico
Personal de lavandería,Operativo,Operativo
Muestreador de campo,Operativo,Operativo
Obrero de mantenimiento y reparación de edificios,Mantenimiento industrial,Técnico
Enfermera industrial,Administración,Técnico
Guardia de seguridad,Operativo,Operativo
Operador de producción,Producción,Operativo
Asesor de ventas,Producción,Operativo
Pespuntador,Producción,Operativo
Auxiliar contable,Administración,Operativo
Abastecedor de materiales,Operativo,Operativo
Ingeniero de procesos,Producción,Mandos medios
Practicante de recursos humanos,Recursos humanos,Operativo
Agente de ventas,Comercialización,Operativo
Metrólogo,Calidad,Técnico
AUDITOR DE INGRESOS,Finanzas y Contabilidad,Técnico especializado
Ayudante general,Producción,Operativo
Ayudante general ,Producción,Operativo
INSPECTOR DE RUTA,Logística,Operativo
Montacarguista,Logística,Operativo
Técnico en alimentos y bebidas,Operativo,Operativo
Camarista,Operativo,Operativo
Auxiliar de cocina,Operativo,Operativo
Coordinador de abastecimiento y logística de transporte,Logística,Operativo
Ayudante general,Producción,Operativo
Traductor Japones-Inglés-Español,Administración,Mandos medios
LIMPIEZA INDUSTRIAL ,Operativo,Operativo
Pailero,Operativo,Técnico
Vendedor/a de mostrador,Operativo,Operativo
Contador de costos,Finanzas y Contabilidad,Mandos medios
Supervisión de producción,Producción,Mandos medios
Production Control Assistant Manager,Producción,Directivos
Jefe de seguridad e higiene,Recursos humanos,Mandos medios
Operador de manufactura ,Operativo,Operativo
Médico laboral,Recursos humanos,Mandos medios
Ayudante de limpieza,Operativo,Operativo
Analista de recursos humanos,Mantenimiento industrial,Mandos medios
Chofer de camioneta,Operativo,Operativo
